date_time,title,content,author,source,summary,sentiment,link
2022-09-18T04:02:36.000Z,Joe Biden arrives in London for Queen's funeral,"US President Joe Biden has arrived in London ahead of the funeral of Queen Elizabeth II on Monday.
Mr Biden is among some 500 heads of state and foreign dignitaries coming to London for a gathering of world leaders not seen for decades.
The prime ministers of Canada, Australia and New Zealand are already in the UK.
Controversy surrounds some of the guests invited, such as Saudi Arabia's Crown Prince Mohammed Bin Salman.
As well as Canada's Prime Minister Justin Trudeau, Australia's Prime Minister Anthony Albanese and New Zealand's Prime Minister Jacinda Ardern, other Commonwealth leaders expected to attend include Bangladeshi Prime Minister Sheikh Hasina and Sri Lankan President Ranil Wickremesinghe. India will be represented by President Droupadi Murmu.
French President Emmanuel Macron, Irish Taoiseach Micheal Martin, German President Frank-Walter Steinmeier and Italian President Sergio Mattarella are among the other world leaders expected to attend.
Members of royal families from across Europe will also be present.
Many of the guests are expected to pay their respects to the Queen at her lying-in-state in Westminster Hall and sign a book of condolence at Lancaster House.
But the focus will be a formal state reception hosted by King Charles III at Buckingham Palace on Sunday.
For many leaders, it will be their only chance to meet collectively and engage in some diplomacy.
Some of the guests invited to attend the funeral have, however, raised eyebrows.
The extension of an invite to Saudi Arabia's Crown Prince and de facto ruler Mohammed Bin Salman (known as MBS) has proved controversial.
He is accused of ordering the killing of Saudi journalist Jamal Khashoggi inside the Saudi Consulate in Istanbul, Turkey in 2018 - an accusation the Crown Prince and his government deny.
The fiancée of Mr Khashoggi, Hatice Gengiz, said he should not be allowed to attend the event and that it was a stain on the memory of the Queen.
Another invite which has led to criticism is that for China's President Xi Jinping, due to accusations of crimes against humanity levelled at the Chinese government.
But it will not be President Xi attending the funeral. Instead, Vice President Wang Qishan will travel to the UK.
Representatives from Russia, Belarus, Myanmar, Syria, Venezuela and Afghanistan have not been invited.
Iran, North Korea (DPRK) and Nicaragua have only been invited to send ambassadors, rather than heads of state.
Watch: Queen Elizabeth II's lying-in-state
What time is the Queen's funeral? And other questions
What next? A day-by-day guide from now to the funeral
Queen's funeral plans: What will happen on the day",Alys Davies,BBC News,"Some 500 heads of state and foreign dignitaries are expected to attend the funeral of Queen Elizabeth II at Buckingham Palace on Monday. Some of the guests have caused controversy, including Saudi Arabia's Crown Prince Mohammed Bin Salman, who has been accused of ordering the killing of journalist Jamal Khashoggi.",Neutral,https://www.bbc.com/news/uk-62943911
2022-09-18T01:19:34.000Z,Man charged over Queen coffin incident,"A 28-year-old man has been charged with a public order offence after allegedly leaving the queue of mourners to approach the Queen's coffin on Friday.
Muhammad Khan, from Tower Hamlets in east London, will appear at Westminster Magistrates' Court on Monday.
The Metropolitan Police said he was charged under the Public Order Act.
The live video feed of Westminster Hall cut away when the incident occurred at around 22:00 BST.
A statement from the Met Police said: ""Muhammad Khan, 28, of Barleycorn Way, Tower Hamlets, was charged on Saturday, September 17, with an offence under Section 4A of the Public Order Act; behaviour intending to cause alarm, harassment or distress.
""He will appear in custody at Westminster Magistrates' Court on Monday, September 19.""
He is the second person to be charged with committing an offence while in the queue to see the Queen lying in state.
A 19-year-old man was charged after allegedly exposing himself and pushing into mourners from behind as they waited in the line at Victoria Tower Gardens on Wednesday.
Adio Adeshine was charged with two counts of sexual assault and two counts of breaching a sexual harm prevention order. He will appear at Southwark Crown Court on 14 October.
The late Queen Elizabeth II will remain in Westminster Hall until the day of her funeral on Monday.",,,"Muhammad Khan, from Tower Hamlets, will appear at Westminster Magistrates' Court on Monday. The live video feed of Westminster Hall cut away when the incident occurred at around 22:00 BST on Friday. He is the second person to be charged with committing an offence while in the queue to see the Queen lying in state.",Negative,https://www.bbc.com/news/uk-62944148
2022-09-17T19:17:34+00:00,Tottenham Hotspur 6-2 Leicester City: Son Heung-min ends barren start with 13-minute hat-trick,"Son Heung-min ended his goal drought with a scintillating 13-minute hat-trick as Tottenham ruthlessly punished Leicester's latest defensive horror show.
The South Korea striker responded to Antonio Conte's decision to drop him to the bench after a barren start to the season by coming on to curl home two fantastic strikes and slot home a late third.
Spurs trailed to Youri Tielemans' early penalty but took advantage of the Foxes' failings at set-pieces as Harry Kane and Eric Dier nodded home from corners to turn the game around.
James Maddison's fabulous first-time finish briefly drew Leicester level again, but Wilfried Ndidi's mistake allowed Rodrigo Bentancur to steer Tottenham back in front before substitute Son stole the show.
Victory maintained Spurs' unbeaten start to the Premier League season as they climbed to second, level on points with leaders Manchester City.
Leicester, meanwhile, remain at the foot of the table, still searching for their first win, despite having led in four of their seven matches thus far.
As at all Premier League games this weekend, fans observed a minute's silence for the late Her Majesty Queen Elizabeth II and a 70th-minute round of applause in honour of her 70-year reign.
Son had failed to score in eight games in all competitions for Spurs so far this season but it was still a brave decision from boss Conte to drop last season's joint-Golden Boot winner.
In fairness, he could not have asked for better opposition to open his account, given the brittleness of the Foxes' backline but the quality of his first two strikes stood out.
Both were curled into the top corner from the edge of the box - the first with his right foot, the second with his left - as the 30-year-old proved the old adage that form is temporary but class permanent.
Even an erroneous offside flag could not deny him the match ball as VAR replays showed he was just onside when he strode clear to beat Danny Ward for his third goal and Spurs' sixth.
While Son's stunning cameo will hog the headlines, there was plenty more for Conte to be pleased about after seeing his side record a seventh successive win at Tottenham Hotspur Stadium.
Five different players provided assists, with Ivan Perisic's dead-ball delivery complementing Dejan Kulusevski's crosses from open play, while Bentancur contributed his first goal for the club.
But they will need to cut out defensive lapses such as Davinson Sanchez's needless challenge on James Justin that handed Leicester their early lead, Tielemans tucking home at the second attempt after VAR spotted Hugo Lloris had encroached off his line in saving the initial spot-kick.
When it comes to defensive debacles, however, no top-flight team is a patch on Leicester, who have now lost 4-2, 5-2 and 6-2 on the road this season, conceding a league-high 22 goals overall.
It is not a new phenomenon either - they have kept just two clean sheets in 19 games, conceded 25 set-piece goals since the start of last season and dropped 11 points from winning positions this term alone.
While boss Brendan Rodgers, enduring the longest losing league run of his career after six successive defeats, said earlier this week the club's hierarchy had been ""very supportive"", that patience surely has a limit after a haul of just one point from seven games.
The dithering Ndidi's error to help Bentancur put Spurs 3-2 up at a vital juncture of the game characterised their lack of confidence, while deadline-day signing Wout Faes endured a chastening debut.
Until Son's introduction and Leicester's collapse, the Foxes arguably created as many chances as the hosts in the first hour, with Lloris notably saving well from Maddison and Patson Daka with the game in the balance.
But the Foxes' talented attackers, even the again excellent Maddison, who brilliantly swept home Timothy Castagne's cross to make it 2-2, simply cannot cancel out the volume of goals shipped at the other end.
It could have been more too. A Daka own goal was ruled out for a foul by Sanchez on Ward, who also tipped a header from the Spurs defender onto the bar later in the first half.


Avg





",Michael Beardmore,BBC Sport,Son Heung-min scored a hat-trick in Spurs' 7-2 win over Leicester. The striker came on after a barren start to the season for Antonio Conte. Spurs have now won seven games in a row in the Premier League.,Neutral,https://www.bbc.com/sport/football/62859265
2022-09-17T23:11:30.000Z,Ukraine war: Power back on at huge nuclear plant in Zaporizhzhia,"The UN's nuclear watchdog (IAEA) says Ukraine's huge Zaporizhzhia nuclear power plant has begun receiving power from the national grid once again.
Shelling in the area damaged power lines connected to the plant.
All six of its reactors are in a state of cold shutdown, but the plant needs external power to cool its reactors and defend against the risk of a meltdown.
The IAEA says the situation of the plant, which is held by Russian forces, has improved but remains precarious.
A team of nuclear experts from the IAEA (International Atomic Energy Agency) travelled to Zaporizhzhia, Europe's largest nuclear plant, at the beginning of the month.
The trip followed increasing calls from Ukraine and the international community for a safety inspection following reports of shelling.
Russia and Ukraine both blamed each other for the shelling of the facility in south-east Ukraine.
After the IAEA's first inspection, the agency announced it would maintain a permanent presence in order to monitor the situation.
Members of the team at the site on Saturday learnt that one of the four main external power lines damaged by shelling had been repaired, allowing electricity to be received directly from the national grid, the IAEA tweeted on Saturday.
Further east in Ukraine, the discovery of mass graves in Izyum has led the European Union presidency to call for an international tribunal for war crimes to be carried out.
Hundreds of bodies have been discovered buried in a forest at the edge of the city, which recently came under the control of Ukraine after Russian forces retreated.
Many are said to be civilians, women and children among them.
Ukraine says it believes war crimes have been committed.
""In the 21st Century, such attacks against the civilian population are unthinkable and abhorrent,"" said Jan Lipavsky, foreign minister of the Czech Republic which holds the EU's rotating presidency.
""We must not overlook it. We stand for the punishment of all war criminals,"" he wrote in a tweet. ""I call for the speedy establishment of a special international tribunal that will prosecute the crime of aggression.""
Fighting raged on Saturday in the divided eastern region of Donetsk, which is mostly under the control of Russian-backed separatists.
The separatist mayor of Donetsk city said four people had been killed by Ukrainian government shelling of a central district while the Donetsk region's Ukrainian governor accused Russian forces of shelling a thermal power plant in Mykolaivka, disrupting drinking water supplies in the area.
Ukrainian troops are continuing their counter-offensive in the country's north-east, after successfully recapturing territory from Russia in recent days, the UK's defence ministry says. It adds that Russia has established a defensive line protecting one of its main supply routes from Belgorod, near its border with Ukraine.
Russian President Vladimir Putin said on Friday that Ukrainian counter-offensives would not change Russia's military plans in the east of Ukraine.",Alys Davies,BBC News,"Ukraine's Zaporizhzhia nuclear power plant has begun receiving power from the national grid. All six of its reactors are in a state of cold shutdown, but the plant needs external power to cool its reactors and defend against the risk of a meltdown. The European Union presidency has called for an international tribunal for war crimes to be carried out.",Neutral,https://www.bbc.com/news/world-europe-62943902
2022-09-18T00:25:52.000Z,French 'Spider-Man' scales skyscraper aged 60,"A climber known as France's ""Spider-Man"" has marked his 60th birthday by scaling a 48-storey skyscraper in Paris without any safety gear.
Alain Robert climbed the Tour TotalEnergies in the Défense business district using no ropes or harness.
""I want to send people the message that being 60 years old is nothing. You can still do sport, be active, do fabulous things,"" he told Reuters news agency.
After reaching the top of the tower he was reportedly arrested.
Mr Robert has climbed the Tour TotalEnergies numerous times before. This time, it took him just 60 minutes to reach the top, news site Defense 92 reports.
""I promised myself several years ago that when I would reach 60, I would climb that tower again because 60 symbolises retirement age in France and I thought that was a nice touch,"" he said after the climb.
He added that the aim of the climb was also to raise awareness of global warming, according to Reuters.
Mr Robert is known for climbing tall buildings worldwide. His daring feats include reaching the top of Dubai's Burj Khalifa - the world's tallest building.
He usually does his stunts without prior notice or permission and has been arrested a number of times.",Alys Davies,BBC News,"""I want to send people the message that being 60 years old is nothing,"" he says. He usually does his stunts without prior notice or permission and has been arrested a number of times. He is known for reaching the top of Dubai's Burj Khalifa.",Neutral,https://www.bbc.com/news/world-europe-62943910
2022-09-17T18:08:57+00:00,Jack Grealish answers critics in Wolves win as 'ominous' Man City roll on,"Jack Grealish could not have asked for a better response to his growing band of critics.
After having both his performances for Manchester City and his place in the England squad called into question, Grealish responded with his first goal of the season, after just 55 seconds, against Wolves on Saturday.
The forward was also at the centre of most of the visitors' attacking play as he helped Pep Guardiola's men cruise to a 3-0 victory.
The result sees City head into the international break on top of the table after scoring 23 times in seven Premier League matches, while in Erling Haaland they have a striker in red-hot form with 14 goals in nine games in all competitions.
The campaign is not yet one fifth of the way through, but already questions are being asked about how anyone can stop City becoming only the fifth English club - after Huddersfield, Arsenal, Liverpool and Manchester United - to win three league titles in a row.
""It feels ominous for everyone, and almost feels like a one-horse race whatever the table tells you,"" former England defender Rio Ferdinand told BT Sport.
""People have started to question Jack Grealish, today he answered the critics in a wonderful way.""
Guardiola knows Grealish's British record £100m transfer from Aston Villa brings added pressure, yet has unconditional trust in him to deliver.
Not much attention was paid to Grealish's slightly disappointing contribution to City's title-winning campaign last season, but there is more focus this time around.
Guardiola went out of his way to talk up the 26-year-old before the Wolves game, saying he was ""delighted with his behaviour and everything"" even though City's Champions League comeback against Borussia Dortmund in midweek came after Grealish had left the field.
The manager kept faith with Grealish and if it is regarded as a positive when opposition fans start to target you, the forward should be quite happy with his performance against at Molineux.
A combination of his Villa connection, scoring inside a minute and being on the end of Nathan Collins' red-card challenge meant Grealish was singled out by the Wolves faithful throughout.
He responded with understated, yet pointed, applause towards the South Bank when he was replaced by Cole Palmer 13 minutes from time, before thanking Guardiola for his support.
""It is nice when Pep defends me,"" he said. ""I probably have to thank him because he gave me the opportunity today after my performance on Wednesday, which probably wasn't the best.""
Guardiola, meanwhile, just wants Grealish to be the player that persuaded him to pay big money to Villa last year.
""They don't have to say thank you,"" he said. ""I have confidence in all of them. I trust them unconditionally.
""Everybody has good moments and bad moments. The important thing is he thinks, 'I am Jack Grealish, I play like I am'. That is all I want for him.""
Haaland has never scored in eight successive games. A goal against Manchester United next time out would see the 22-year-old reach that milestone.
It has almost reached the point where it would be a shock if Haaland failed to find the net, so unerring has been his finishing.
His latest effort was a rarity in that it was struck from outside the box - and one senses Guardiola will have been just as pleased with the Norwegian's contribution for City's third, which saw him have the awareness to roll the ball to Kevin de Bruyne, who crossed for Phil Foden to convert.
Haaland now has 11 goals in seven league games. In the season that Mo Salah scored 34 to break the Premier League record for a 38-game campaign, he had reached four at the same point.
Only Fulham's Aleksander Mitrovic has reached half Haaland's tally so far this season.
Even though Haaland will be absent later this year from the World Cup, which starts after the 2022 Ballon d'Or is awarded, former Manchester United defender Ferdinand can only see one winner next year if the Norwegian's form ultimately powers City to Champions League glory next June.
""He has the ability to break records because he is playing in a team that is absolutely dominating,"" Ferdinand said.
""If Man City win the Champions League, there is no question he will win the Ballon d'Or. He is head and shoulders above anyone else.""",Simon Stone,BBC Sport at Molineux,Manchester City beat Wolves 3-0 in their Premier League clash on Saturday. City are top of the table with 14 goals in nine games so far this season. Jack Grealish scored his first goal of the season after just 55 seconds.,Positive,https://www.bbc.com/sport/football/62942730
2022-09-17T15:58:27+00:00,FC Augsburg 1-0 Bayern Munich: Champions' winless run extends to four matches,"Bayern Munich fell to a surprise first defeat of the season at Augsburg as they missed the opportunity to go top of the Bundesliga.
Mergim Berisha scored the only goal of the game as the hosts recorded their first home win of the season.
Bayern have now failed to win their last four matches in the German top flight and may drop out of the top four after Sunday's fixtures.
Borussia Dortmund top the table after a 1-0 win over local rivals Schalke.
Substitute Youssoufa Moukoko, 17, headed the winner for Edin Terzic's side to become the youngest player to have scored in the fixture.
Union Berlin, who currently sit second, could reclaim top spot if they beat Wolfsburg on Sunday (14:30 BST), while third-placed Freiburg travel to Hoffenheim.


",,,Borussia Dortmund beat Schalke 1-0 to go top of the Bundesliga. Youngster Youssoufa Moukoko scored the only goal of the game. Bayern Munich have failed to win in their last four matches in the top flight. Union Berlin could reclaim top spot if they beat Wolfsburg.,Neutral,https://www.bbc.com/sport/football/62942089
2022-09-17T18:03:23+00:00,Newcastle United 1-1 Bournemouth: Alexander Isak cancels out Philip Billing opener,"Alexander Isak scored his first goal at St James' Park but Newcastle remain without a win since the opening day of the Premier League season after being held by a disciplined Bournemouth.
Eddie Howe's side fell behind against his former club when midfielder Philip Billing stretched to steer a Jordan Zemura cross from the left-hand wing past Nick Pope with just over an hour gone.
Five minutes later Newcastle were level as Isak - a club record £60m summer signing from Real Sociedad - converted a penalty after Jefferson Lerma was adjudged to have handled a Kieran Trippier cross by the video assistant referee.
The draw is Newcastle's fifth of the season and stretches their winless run to six games, although they climb to 10th in the table.
Bournemouth have now claimed five points from an available nine under caretaker manager Gary O'Neil to leave them 12th.
As at all Premier League games this weekend there was a minute's silence before kick-off, which was impeccably observed, for the late Her Majesty Queen Elizabeth II followed by the national anthem. There was also stadium-wide applause in the 70th minute in honour of her 70-year reign.
It has been a frustrating start to the season for Newcastle with goals hard to come by, and this will be another game where they will feel they should have taken three points.
They were dominant for large periods - they had 72% possession and 20 attempts at goal - but again lacked a clinical edge.
They had chances with a Trippier free-kick and a cushioned Joelinton effort both striking posts in the first half.
Bournemouth's summer signing Neto also tipped away efforts from Joelinton and Ryan Fraser, but the latter, who earned a recall to the Scotland squad this week, and Miguel Almiron spurned good opportunities.
It left Newcastle co-owner Amanda Staveley looking unimpressed in the stands, with the results this season not yet matching Newcastle's lofty ambitions.
Howe was similarly frustrated, telling BBC Sport: ""I don't think we played particularly well, we were off our best level. One for us to reflect on.
""I am desperate to win, it feels like a long time for us. We need to win and compete and be the best versions of us.""
A period of change may be forthcoming at Bournemouth too, with a Las Vegas consortium hoping to buy the club.
It has left uncertainty about the manager's role with O'Neil now in charge since Scott Parker was sacked on 30 August, but it has hard to argue with the results that the former Portsmouth and Middlesbrough midfielder has produced.
Bournemouth looked organised and were prepared to put their bodies on the line, while on another day they could have taken three points as Marcus Tavernier headed wide in the first period before driving wide in the second.
Whether O'Neil will be in charge when Bournemouth host Brentford on 1 October - the next round of Premier League fixtures after the international break - remains to be seen.
""I will be finding out what's happening club-wise next week and will see what the plan is,"" O'Neil told BBC Sport.
""I have no idea what's happening - I knew I was taking today and I don't know about further, I guess I'll find out tomorrow.""


Avg





",Callum Matthews,BBC Sport,Newcastle remain without a win since the opening day of the season. Philip Billing gave Bournemouth the lead in the first half. Alexander Isak equalised for the Magpies with a penalty in the second half. Newcastle climb to 10th in the Premier League table.,Neutral,https://www.bbc.com/sport/football/62859267
2022-09-17T05:48:49.000Z,IHG hack: 'Vindictive' couple deleted hotel chain data for fun,"Hackers have told the BBC they carried out a destructive cyber-attack against Holiday Inn owner Intercontinental Hotels Group (IHG) ""for fun"".
Describing themselves as a couple from Vietnam, they say they first tried a ransomware attack, then deleted large amounts of data when they were foiled.
They accessed the FTSE 100 firm's databases thanks to an easily found and weak password, Qwerty1234.
An expert says the case highlights the vindictive side of criminal hackers.
UK-based IHG operates 6,000 hotels around the world, including the Holiday Inn, Crowne Plaza and Regent brands.
On Monday last week, customers reported widespread problems with booking and check-in.
For 24 hours IHG responded to complaints on social media by saying that the company was ""undergoing system maintenance"".
Then on the Tuesday afternoon it told investors that it had been hacked.
""Booking channels and other applications have been significantly disrupted since yesterday,"" it said in an official notice lodged with the London Stock Exchange.
The hackers, calling themselves TeaPea, contacted the BBC on the encrypted messaging app, Telegram, providing screenshots as evidence that they had carried out the hack.
The images, which IHG has confirmed are genuine, show they gained access to the company's internal Outlook emails, Microsoft Teams chats and server directories.
""Our attack was originally planned to be a ransomware but the company's IT team kept isolating servers before we had a chance to deploy it, so we thought to have some funny [sic]. We did a wiper attack instead,"" one of the hackers said.
A wiper attack is a form of cyber-attack that irreversibly destroys data, documents and files.
Cyber-security specialist Rik Ferguson, vice-president of security at Forescout, said the incident was a cautionary tale as, even though the company's IT team initially found a way to fend them off, the hackers were still able to find a way to inflict damage.
""The hackers' change of tactic seems born out of vindictive frustration,"" he said. ""They couldn't make money so they lashed out, and that absolutely betrays the fact that we are not talking about 'professional' cybercriminals here.""
IHG says customer-facing systems are returning to normal but that services may remain intermittent.
The hackers are showing no remorse about the disruption they have caused the company and its customers.
""We don't feel guilty, really. We prefer to have a legal job here in Vietnam but the wage is average $300 per month. I'm sure our hack won't hurt the company a lot.""
The hackers say no customer data was stolen but they do have some corporate data, including email records.
TeaPea say they gained access to IHG's internal IT network by tricking an employee into downloading a malicious piece of software through a booby-trapped email attachment.
They also had to bypass an additional security prompt message sent to the worker's devices as part of a two-factor authentication system.
The criminals then say they accessed the most sensitive parts of IHG's computer system after finding login details for the company's internal password vault.
""The username and password to the vault was available to all employees, so 200,000 staff could see. And the password was extremely weak,"" they told the BBC.
Surprisingly, the password was Qwerty1234, which regularly appears on lists of most commonly used passwords worldwide.
""Sensitive data should only be available to employees who need access to that data to do their job, and they should have the minimum level of access [needed] to use that data,"" said Mr Ferguson, after seeing the screenshots.
""Even a highly complex password is just as insecure as a simple one if it is left exposed.""
An IHG spokeswoman disputed that the password vault details were not secure, saying that the attacker had to evade ""multiple layers of security"", but would not give details about the extra security.
""IHG employs a defence-in-depth strategy to information security that leverages many modern security solutions,"" she added.",Joe Tidy,Cyber reporter,"Hackers say they carried out a destructive cyber-attack against Holiday Inn owner Intercontinental Hotels Group. They accessed the FTSE 100 firm's databases thanks to an easily found and weak password. UK-based IHG operates 6,000 hotels around the world, including the Holiday Inn, Crowne Plaza and Regent brands.",Negative,https://www.bbc.com/news/technology-62937678
2022-09-16T11:33:39.000Z,"Chrissy Teigen says she has come to realise she had an abortion, not a miscarriage","Chrissy Teigen has spoken about how she has come to realise the loss of her baby during pregnancy two years ago was an abortion rather than a miscarriage.
The US model revealed in 2020 that she had lost a baby at 20 weeks, as a result of a pregnancy complication.
At the time, the loss was described as a miscarriage, and she shared emotional photos from her hospital bedside.
She now says she had to make ""difficult and heartbreaking"" decisions after learning the child would not survive.
""It became very clear around halfway through that he would not survive, and that I wouldn't either without any medical intervention,"" Teigen explained.
She said she had only recently come to accept the procedure as ""an abortion to save my life for a baby that had absolutely no chance"".
Teigen, who is married to singer John Legend, was speaking at a conference session in the wake of the US Supreme Court's recent decision to overturn the Roe vs Wade ruling, which has allowed states to block abortion access.
The TV personality said she had discussed the ruling with Legend, and expressed sympathy with people who have to make a decision to have an abortion, when her husband made her realise that she had in fact been one of those people.
""I fell silent, feeling weird that I hadn't made sense of it that way,"" Teigen told the A Day of Unreasonable Conversation summit, as reported by The Hollywood Reporter.
""I told the world we had a miscarriage, the world agreed we had a miscarriage, all the headlines said it was a miscarriage.
""And I became really frustrated that I didn't, in the first place, say what it was, and I felt silly that it had taken me over a year to actually understand that we had had an abortion.""
The couple had already named the unborn child Jack, the 36-year-old explained.
""Two years ago, when I was pregnant with Jack - John and my third child - I had to make a lot of difficult and heartbreaking decisions,"" she said.
She told the session about having a miscarriage, before stopping herself and saying: ""Let's just call it what it was. It was an abortion. An abortion to save my life for a baby that had absolutely no chance. And to be honest, I never, ever put that together until, actually, a few months ago.""
Several weeks after losing her baby, Teigen wrote a moving blog explaining that she had been induced to deliver Jack at 20 weeks after being diagnosed with partial placental abruption.
Placental abruption is when the placenta starts to come away from the inside of the womb wall.
She recounted how her bleeding had become heavier and she went into hospital, where doctors ""tried bags and bags of blood transfusions"", but they had no effect.
""After a couple nights at the hospital, my doctor told me exactly what I knew was coming - it was time to say goodbye,"" she wrote.
Teigen and Legend's other two children are aged six and four, and she is currently pregnant again.",,,"Chrissy Teigen lost a baby at 20 weeks two years ago. At the time, the loss was described as a miscarriage. Now she says she had to make ""difficult and heartbreaking"" decisions. Teigen was speaking at the A Day of Unreasonable Conversation summit.",Neutral,https://www.bbc.com/news/entertainment-arts-62925701
